size,type,time
10000,iloczyn_skalarny,2.1166e-5
10000,iloczyn_skalarny,9.042e-6
10000,iloczyn_skalarny,7.709e-6
10000,iloczyn_skalarny,7.709e-6
10000,iloczyn_skalarny,7.708e-6
10000,iloczyn_skalarny,7.708e-6
10000,iloczyn_skalarny,7.75e-6
10000,iloczyn_skalarny,7.667e-6
10000,iloczyn_skalarny,7.709e-6
10000,iloczyn_skalarny,7.708e-6
20000,iloczyn_skalarny,1.5333e-5
20000,iloczyn_skalarny,1.5417e-5
20000,iloczyn_skalarny,1.5292e-5
20000,iloczyn_skalarny,1.5417e-5
20000,iloczyn_skalarny,1.5375e-5
20000,iloczyn_skalarny,1.5375e-5
20000,iloczyn_skalarny,1.5375e-5
20000,iloczyn_skalarny,1.5375e-5
20000,iloczyn_skalarny,1.5416e-5
20000,iloczyn_skalarny,1.5375e-5
30000,iloczyn_skalarny,2.3125e-5
30000,iloczyn_skalarny,2.3042e-5
30000,iloczyn_skalarny,2.3084e-5
30000,iloczyn_skalarny,2.3042e-5
30000,iloczyn_skalarny,2.3e-5
30000,iloczyn_skalarny,2.3042e-5
30000,iloczyn_skalarny,2.3042e-5
30000,iloczyn_skalarny,2.3083e-5
30000,iloczyn_skalarny,2.3083e-5
30000,iloczyn_skalarny,2.3042e-5
40000,iloczyn_skalarny,3.0708e-5
40000,iloczyn_skalarny,3.0625e-5
40000,iloczyn_skalarny,3.0625e-5
40000,iloczyn_skalarny,3.0625e-5
40000,iloczyn_skalarny,3.0708e-5
40000,iloczyn_skalarny,3.075e-5
40000,iloczyn_skalarny,3.0667e-5
40000,iloczyn_skalarny,3.0625e-5
40000,iloczyn_skalarny,3.075e-5
40000,iloczyn_skalarny,3.0709e-5
50000,iloczyn_skalarny,3.8375e-5
50000,iloczyn_skalarny,3.8333e-5
50000,iloczyn_skalarny,3.8333e-5
50000,iloczyn_skalarny,3.8375e-5
50000,iloczyn_skalarny,3.8375e-5
50000,iloczyn_skalarny,3.8334e-5
50000,iloczyn_skalarny,3.8292e-5
50000,iloczyn_skalarny,3.8291e-5
50000,iloczyn_skalarny,3.8375e-5
50000,iloczyn_skalarny,3.8459e-5
60000,iloczyn_skalarny,4.6e-5
60000,iloczyn_skalarny,4.6042e-5
60000,iloczyn_skalarny,4.6042e-5
60000,iloczyn_skalarny,4.5959e-5
60000,iloczyn_skalarny,4.6e-5
60000,iloczyn_skalarny,4.5958e-5
60000,iloczyn_skalarny,4.5916e-5
60000,iloczyn_skalarny,4.6084e-5
60000,iloczyn_skalarny,4.6084e-5
60000,iloczyn_skalarny,4.6041e-5
70000,iloczyn_skalarny,5.3667e-5
70000,iloczyn_skalarny,5.3666e-5
70000,iloczyn_skalarny,5.3625e-5
70000,iloczyn_skalarny,5.3708e-5
70000,iloczyn_skalarny,5.4334e-5
70000,iloczyn_skalarny,5.3709e-5
70000,iloczyn_skalarny,5.375e-5
70000,iloczyn_skalarny,5.375e-5
70000,iloczyn_skalarny,5.375e-5
70000,iloczyn_skalarny,5.3667e-5
80000,iloczyn_skalarny,6.1416e-5
80000,iloczyn_skalarny,6.1375e-5
80000,iloczyn_skalarny,6.1416e-5
80000,iloczyn_skalarny,6.1334e-5
80000,iloczyn_skalarny,6.1417e-5
80000,iloczyn_skalarny,6.5167e-5
80000,iloczyn_skalarny,6.1333e-5
80000,iloczyn_skalarny,6.1416e-5
80000,iloczyn_skalarny,6.1417e-5
80000,iloczyn_skalarny,6.1375e-5
90000,iloczyn_skalarny,6.9042e-5
90000,iloczyn_skalarny,6.9083e-5
90000,iloczyn_skalarny,6.9e-5
90000,iloczyn_skalarny,6.9041e-5
90000,iloczyn_skalarny,6.9125e-5
90000,iloczyn_skalarny,6.9042e-5
90000,iloczyn_skalarny,6.9125e-5
90000,iloczyn_skalarny,6.9e-5
90000,iloczyn_skalarny,6.9041e-5
90000,iloczyn_skalarny,6.9125e-5
100000,iloczyn_skalarny,7.6708e-5
100000,iloczyn_skalarny,7.675e-5
100000,iloczyn_skalarny,7.6708e-5
100000,iloczyn_skalarny,7.675e-5
100000,iloczyn_skalarny,7.6792e-5
100000,iloczyn_skalarny,7.675e-5
100000,iloczyn_skalarny,7.6667e-5
100000,iloczyn_skalarny,7.6667e-5
100000,iloczyn_skalarny,7.6667e-5
100000,iloczyn_skalarny,7.6709e-5
1000,mnozenie_macierzy,0.001036416
1000,mnozenie_macierzy,0.00072325
1000,mnozenie_macierzy,0.000835375
1000,mnozenie_macierzy,0.0006965
1000,mnozenie_macierzy,0.000818667
1000,mnozenie_macierzy,0.000991
1000,mnozenie_macierzy,0.006583166
1000,mnozenie_macierzy,0.000835959
1000,mnozenie_macierzy,0.000829375
1000,mnozenie_macierzy,0.000842584
2000,mnozenie_macierzy,0.011761709
2000,mnozenie_macierzy,0.004761292
2000,mnozenie_macierzy,0.003699709
2000,mnozenie_macierzy,0.003317542
2000,mnozenie_macierzy,0.003456958
2000,mnozenie_macierzy,0.003570917
2000,mnozenie_macierzy,0.003423667
2000,mnozenie_macierzy,0.003547875
2000,mnozenie_macierzy,0.003447458
2000,mnozenie_macierzy,0.003504042
3000,mnozenie_macierzy,0.010932209
3000,mnozenie_macierzy,0.008991625
3000,mnozenie_macierzy,0.007759
3000,mnozenie_macierzy,0.007829875
3000,mnozenie_macierzy,0.007861667
3000,mnozenie_macierzy,0.007835416
3000,mnozenie_macierzy,0.007865083
3000,mnozenie_macierzy,0.007837083
3000,mnozenie_macierzy,0.0085285
3000,mnozenie_macierzy,0.00771625
4000,mnozenie_macierzy,0.020039792
4000,mnozenie_macierzy,0.025011958
4000,mnozenie_macierzy,0.0432115
4000,mnozenie_macierzy,0.13170675
4000,mnozenie_macierzy,0.119310459
4000,mnozenie_macierzy,0.018768667
4000,mnozenie_macierzy,0.019522333
4000,mnozenie_macierzy,0.018844333
4000,mnozenie_macierzy,0.019900291
4000,mnozenie_macierzy,0.021122459
5000,mnozenie_macierzy,0.036390791
5000,mnozenie_macierzy,0.04966675
5000,mnozenie_macierzy,0.051463416
5000,mnozenie_macierzy,0.053362375
5000,mnozenie_macierzy,0.049254667
5000,mnozenie_macierzy,0.049765041
5000,mnozenie_macierzy,0.048760041
5000,mnozenie_macierzy,0.054098042
5000,mnozenie_macierzy,0.052081416
5000,mnozenie_macierzy,0.052513
6000,mnozenie_macierzy,0.051039708
6000,mnozenie_macierzy,0.050991167
6000,mnozenie_macierzy,0.052437458
6000,mnozenie_macierzy,0.051426209
6000,mnozenie_macierzy,0.051580875
6000,mnozenie_macierzy,0.051394584
6000,mnozenie_macierzy,0.05084275
6000,mnozenie_macierzy,0.051305625
6000,mnozenie_macierzy,0.052692625
6000,mnozenie_macierzy,0.0501005
7000,mnozenie_macierzy,0.077139417
7000,mnozenie_macierzy,0.069884
7000,mnozenie_macierzy,0.083638583
7000,mnozenie_macierzy,0.17908075
7000,mnozenie_macierzy,0.068414542
7000,mnozenie_macierzy,0.069885625
7000,mnozenie_macierzy,0.070301
7000,mnozenie_macierzy,0.065306334
7000,mnozenie_macierzy,0.068590583
7000,mnozenie_macierzy,0.06669025
8000,mnozenie_macierzy,0.094587875
8000,mnozenie_macierzy,0.089609375
8000,mnozenie_macierzy,0.088341625
8000,mnozenie_macierzy,0.087440833
8000,mnozenie_macierzy,0.087851708
8000,mnozenie_macierzy,0.084646083
8000,mnozenie_macierzy,0.08586075
8000,mnozenie_macierzy,0.088390417
8000,mnozenie_macierzy,0.0858605
8000,mnozenie_macierzy,0.094919792
9000,mnozenie_macierzy,0.109883791
9000,mnozenie_macierzy,0.107589
9000,mnozenie_macierzy,0.107039292
